Activity,Set #,Weight,Reps,Time (HH:MM:SS),Distance (km),Notes
Lat Pull Down,1.0,35.0,11.0,,,
Lat Pull Down,2.0,42.5,10.0,,,
Lat Pull Down,3.0,50.0,7.0,,,
Shoulder Press,1.0,30.0,10.0,,,
Shoulder Press,2.0,40.0,9.0,,,
Shoulder Press,3.0,45.0,5.0,,,
Incline Bench Press,1.0,55.0,10.0,,,
Incline Bench Press,2.0,65.0,9.0,,,
Incline Bench Press,3.0,65.0,6.0,,,
Incline Bench Press,4.0,65.0,4.0,,,
Leg Press,1.0,110.0,10.0,,,
Leg Press,2.0,130.0,10.0,,,
Leg Press,3.0,150.0,8.0,,,
Bicep Curl,1.0,40.0,10.0,,,
Bicep Curl,2.0,50.0,8.0,,,
Bicep Curl,3.0,50.0,5.0,,,
Squat,1.0,65.0,10.0,,,
Squat,2.0,75.0,8.0,,,
Deadlift,1.0,70.0,10.0,,,
Deadlift,2.0,80.0,6.0,,,
Deadlift,1.0,35.0,10.0,,,
Deadlift,2.0,45.0,8.0,,,
Deadlift,3.0,50.0,6.0,,,
Squats,1.0,40.0,10.0,,,
Squats,2.0,40.0,10.0,,,
Squats,3.0,40.0,10.0,,,
Squats,4.0,40.0,10.0,,,
Squats,5.0,40.0,10.0,,,
Ab Crunch,1.0,,25.0,,,
Ab Crunch,2.0,,25.0,,,
Bicep Curl,1.0,40.0,8.0,,,
Bicep Curl,2.0,40.0,8.0,,,
Bicep Curl,3.0,40.0,8.0,,,
Barbell Overhead Press,1.0,30.0,12.0,,,
Barbell Overhead Press,2.0,30.0,10.0,,,
Barbell Overhead Press,3.0,30.0,8.0,,,
Barbell Triceps,1.0,25.0,15.0,,,
Barbell Triceps,2.0,25.0,13.0,,,
Barbell Triceps,3.0,25.0,14.0,,,
Diamond Press Up,1.0,,5.0,,,
Diamond Press Up,2.0,,5.0,,,
Bench Press,1.0,50.0,15.0,,,
Bench Press,2.0,50.0,15.0,,,
Bench Press,3.0,50.0,15.0,,,
Ab Crunch,1.0,20.0,15.0,,,
Ab Crunch,2.0,20.0,15.0,,,
Ab Crunch,3.0,20.0,15.0,,,
Bench Press,1.0,40.0,10.0,,,
Bench Press,2.0,45.0,10.0,,,
Bench Press,3.0,60.0,10.0,,,
Shoulder Press,1.0,40.0,10.0,,,
Shoulder Press,2.0,40.0,10.0,,,
Shoulder Press,3.0,40.0,10.0,,,
Shoulder Press,4.0,40.0,10.0,,,
Shoulder Press,5.0,40.0,10.0,,,
Barbell Row,1.0,40.0,10.0,,,
Barbell Row,2.0,40.0,10.0,,,
Barbell Row,3.0,40.0,10.0,,,
Barbell Row,4.0,40.0,10.0,,,
Barbell Row,5.0,40.0,10.0,,,
Treadmill,1.0,,,00:05:00,0.5,
Treadmill,2.0,,,00:10:00,1.0,
Chest Press,1.0,50.0,8.0,,,
Chest Press,2.0,50.0,8.0,,,
Chest Press,3.0,50.0,7.0,,,
Bilateral Arm Curl,1.0,60.0,10.0,,,
Bilateral Arm Curl,2.0,70.0,6.0,,,
Bilateral Arm Curl,3.0,60.0,7.0,,,
Triceps Extension,1.0,50.0,10.0,,,
Triceps Extension,2.0,60.0,8.0,,,
Triceps Extension,3.0,50.0,10.0,,,
Ab Crunch,1.0,50.0,12.0,,,
Ab Crunch,2.0,60.0,8.0,,,
Ab Crunch,3.0,60.0,8.0,,,
Lat Pull Down,1.0,82.0,10.0,,,
Lat Pull Down,2.0,82.0,8.0,,,
Lat Pull Down,3.0,82.0,8.0,,,
Leg Press,1.0,140.0,10.0,,,
Leg Press,2.0,140.0,8.0,,,
Squats,1.0,65.0,5.0,,,
Squats,2.0,75.0,5.0,,,
Squats,3.0,85.0,5.0,,,
Squats,4.0,95.0,5.0,,,
Squats,5.0,105.0,5.0,,,
Deadlift,1.0,75.0,10.0,,,
Deadlift,2.0,75.0,10.0,,,
Deadlift,3.0,75.0,10.0,,,
Deadlift,4.0,75.0,10.0,,,
Deadlift,5.0,75.0,10.0,,,
Ab Crunch,1.0,,100.0,,,
Deadlift,1.0,110.0,3.0,,,
Deadlift,2.0,120.0,3.0,,,
Deadlift,3.0,130.0,3.0,,,
Deadlift,4.0,140.0,5.0,,,
Squats,1.0,60.0,10.0,,,
Squats,2.0,60.0,10.0,,,
Squats,3.0,60.0,10.0,,,
Squats,4.0,60.0,10.0,,,
Squats,5.0,60.0,10.0,,,
Ab Work,1.0,,100.0,,,
Deadlift,1.0,110.0,5.0,,,
Deadlift,2.0,125.0,5.0,,,
Deadlift,3.0,135.0,5.0,,,
Squats,1.0,60.0,10.0,,,
Squats,2.0,60.0,10.0,,,
Squats,3.0,60.0,10.0,,,
Squats,4.0,60.0,10.0,,,
Squats,5.0,60.0,10.0,,,
Ab Crunch,1.0,,100.0,,,
Bench Press,1.0,45.0,10.0,,,
Bench Press,2.0,55.0,8.0,,,
Bench Press,3.0,65.0,10.0,,,
Shoulder Press,1.0,40.0,10.0,,,
Shoulder Press,2.0,40.0,10.0,,,
Shoulder Press,3.0,40.0,10.0,,,
Shoulder Press,4.0,40.0,10.0,,,
Shoulder Press,5.0,40.0,10.0,,,
Barbell Row,1.0,50.0,10.0,,,
Barbell Row,2.0,50.0,10.0,,,
Barbell Row,3.0,50.0,10.0,,,
Barbell Row,4.0,50.0,10.0,,,
Barbell Row,5.0,50.0,10.0,,,
Squats,1.0,80.0,5.0,,,
Squats,2.0,80.0,5.0,,,
Squats,3.0,90.0,5.0,,,
Squats,4.0,100.0,5.0,,,
Squats,5.0,110.0,5.0,,,
Deadlift,1.0,80.0,10.0,,,
Deadlift,2.0,80.0,10.0,,,
Deadlift,3.0,80.0,10.0,,,
Deadlift,4.0,80.0,10.0,,,
Deadlift,5.0,80.0,10.0,,,
Ab Work,1.0,,25.0,,,
Ab Work,2.0,,50.0,,,
Ab Work,3.0,,25.0,,,
Pull Ups,1.0,,2.0,,,Front
Shoulder Press,1.0,35.0,10.0,,,
Shoulder Press,2.0,45.0,8.0,,,
Shoulder Press,3.0,55.0,6.0,,,
Shoulder Press,4.0,65.0,10.0,,,
Shoulder Press,5.0,75.0,4.0,,,
Bench Press,1.0,80.0,10.0,,,
Bench Press,2.0,80.0,10.0,,,
Bench Press,3.0,80.0,10.0,,,
Bench Press,4.0,80.0,10.0,,,
Bench Press,5.0,80.0,10.0,,,
Barbell Row,1.0,90.0,10.0,,,
Barbell Row,2.0,90.0,10.0,,,
Barbell Row,3.0,90.0,10.0,,,
Barbell Row,4.0,90.0,10.0,,,
Barbell Row,5.0,90.0,10.0,,,
Bicep Curl,1.0,50.0,5.0,,,
Bicep Curl,2.0,50.0,5.0,,,
Bicep Curl,3.0,40.0,10.0,,,
Bicep Curl,4.0,40.0,8.0,,,
Bicep Curl,5.0,40.0,6.0,,,
Tricep Curl,1.0,25.0,8.0,,,
Tricep Curl,2.0,25.0,10.0,,,
Tricep Curl,3.0,25.0,10.0,,,
Tricep Curl,4.0,25.0,7.0,,,
Tricep Curl,5.0,25.0,6.0,,,
Bench Press,1.0,60.0,10.0,,,
Bench Press,2.0,70.0,8.0,,,
Bench Press,3.0,80.0,10.0,,,
Bench Press,4.0,70.0,8.0,,,
Bench Press,5.0,60.0,10.0,,,
Shoulder Press,1.0,50.0,10.0,,,
Shoulder Press,2.0,50.0,10.0,,,
Shoulder Press,3.0,50.0,10.0,,,
Shoulder Press,4.0,50.0,10.0,,,
Shoulder Press,5.0,50.0,10.0,,,
Barbell Row,1.0,80.0,10.0,,,
Barbell Row,2.0,80.0,10.0,,,
Barbell Row,3.0,80.0,10.0,,,
Barbell Row,4.0,80.0,10.0,,,
Barbell Row,5.0,80.0,10.0,,,
Bench Press,1.0,45.0,5.0,,,Start of 5/3/1
Bench Press,2.0,50.0,5.0,,,
Bench Press,3.0,55.0,5.0,,,
Bench Press,4.0,60.0,5.0,,,
Bench Press,5.0,65.0,5.0,,,
Bench Press,6.0,70.0,5.0,,,
Bench Press,7.0,75.0,5.0,,,
Bench Press,8.0,80.0,5.0,,,
Bench Press,9.0,85.0,5.0,,,
Bench Press,10.0,90.0,5.0,,,
Bench Press,11.0,95.0,4.0,,,
Bench Press,12.0,95.0,5.0,,,
Shoulder Press,1.0,25.0,10.0,,,
Shoulder Press,2.0,35.0,10.0,,,
Shoulder Press,3.0,40.0,10.0,,,
Shoulder Press,4.0,40.0,10.0,,,
Shoulder Press,5.0,40.0,10.0,,,
Lat Pull Down,1.0,27.5,10.0,,,
Lat Pull Down,2.0,27.5,10.0,,,
Lat Pull Down,3.0,27.5,10.0,,,
Lat Pull Down,4.0,27.5,10.0,,,
Lat Pull Down,5.0,35.0,10.0,,,
Lat Pull Down,6.0,35.0,17.0,,,
Squat,1.0,65.0,10.0,,,
Squat,2.0,75.0,10.0,,,
Squat,3.0,75.0,10.0,,,
